epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,767.509,0.50209,0.73335,0.53138,0.95995,0.97913,0.81796,0.88056,0.71708,0.91012,0.76924,0.84009,0.7114,0.84978,1.96981,0.72768,1.22573,0.000198091,0.000198091,0.000198091
85,774.245,0.47396,0.80262,0.50161,0.94393,0.97644,0.82456,0.87904,0.7193,0.90811,0.77571,0.8289,0.69816,0.84389,2.06802,0.69802,1.22604,0.000187092,0.000187092,0.000187092
86,783.022,0.48198,0.7647,0.51016,0.96061,0.98584,0.82311,0.87949,0.71763,0.916,0.7746,0.83629,0.69823,0.8216,2.09642,0.67161,1.21362,0.000176094,0.000176094,0.000176094
87,791.909,0.46959,0.78935,0.503,0.96882,0.96279,0.82289,0.87563,0.71437,0.89879,0.7741,0.82746,0.69888,0.82325,2.05792,0.66715,1.20737,0.000165095,0.000165095,0.000165095
88,800.755,0.50801,0.83966,0.54757,0.97732,0.96803,0.82153,0.87538,0.7001,0.90135,0.82268,0.84264,0.71089,0.83329,2.0256,0.67244,1.20095,0.000154096,0.000154096,0.000154096
89,810.15,0.44451,0.71156,0.48942,0.94758,0.96868,0.82146,0.87716,0.6985,0.87348,0.82913,0.83654,0.70996,0.83032,2.12963,0.66921,1.19714,0.000143097,0.000143097,0.000143097
90,819.337,0.45106,0.75561,0.47617,0.93513,0.95988,0.82458,0.88118,0.7179,0.86811,0.82777,0.84061,0.71873,0.81157,2.16754,0.67599,1.17929,0.000132098,0.000132098,0.000132098
91,834.585,0.35282,0.6517,0.57177,0.86264,0.89141,0.83402,0.86828,0.70054,0.94789,0.76139,0.84144,0.71966,0.82003,1.96293,0.67923,1.17745,0.000121099,0.000121099,0.000121099
92,845.55,0.32695,0.7248,0.49243,0.85899,0.90074,0.81976,0.85514,0.69136,0.86667,0.7931,0.82522,0.70813,0.84258,1.70987,0.72445,1.19507,0.0001101,0.0001101,0.0001101
93,853.553,0.36101,0.68473,0.49017,0.8733,0.94482,0.78433,0.85473,0.69046,0.9053,0.75277,0.82179,0.70831,0.83504,1.61331,0.76562,1.19067,9.91012e-05,9.91012e-05,9.91012e-05
94,865.876,0.35158,0.65181,0.50911,0.85101,0.95009,0.78532,0.85804,0.70496,0.9317,0.75535,0.82999,0.70968,0.7962,1.73055,0.74462,1.17009,8.81023e-05,8.81023e-05,8.81023e-05
95,872.356,0.33354,0.72164,0.47817,0.85219,0.93272,0.7922,0.85938,0.72982,0.91535,0.76244,0.8294,0.71314,0.78201,1.71351,0.71219,1.16754,7.71034e-05,7.71034e-05,7.71034e-05
96,883.583,0.31491,0.69631,0.45763,0.83635,0.94178,0.79194,0.86252,0.7272,0.89359,0.76547,0.83584,0.71938,0.78836,1.76267,0.67928,1.18003,6.61045e-05,6.61045e-05,6.61045e-05
97,889.844,0.3539,0.64409,0.47311,0.86109,0.9196,0.80679,0.87478,0.72787,0.87965,0.78033,0.83614,0.71357,0.78634,1.70518,0.65618,1.1818,5.51056e-05,5.51056e-05,5.51056e-05
98,900.339,0.32234,0.6531,0.4432,0.84388,0.94244,0.80742,0.87257,0.72803,0.90731,0.79322,0.84305,0.71691,0.78453,1.76211,0.64593,1.18701,4.41067e-05,4.41067e-05,4.41067e-05
99,907.188,0.32207,0.63595,0.43128,0.86497,0.95049,0.80466,0.87691,0.72579,0.8967,0.7954,0.84389,0.72643,0.77703,1.70798,0.63667,1.17865,3.31078e-05,3.31078e-05,3.31078e-05
100,916.323,0.30021,0.63032,0.4346,0.83459,0.94146,0.79846,0.87421,0.72127,0.86462,0.79499,0.8401,0.72377,0.77099,1.7121,0.62773,1.17425,2.21089e-05,2.21089e-05,2.21089e-05
